Accession,Control-1,Control-2,Control-3,Treat2-1,Treat2-2
A0A024RD56,-0.250494765,-0.232582586,-0.195980986,0.43462015,0.399092456
B4DX84,-0.13767311,-0.324881362,-0.278969437,0.990009748,9.48E-01
S4R3N1,-0.526318184,-0.535793618,-0.356292129,0.721535995,0.775505532
F8WF49,-0.21255366,-0.196203915,-0.170224159,0.164032943,0.188607849
H0YMA2,-0.729549853,-0.666549101,-0.549138658,0.402609226,0.442925777
Q92556,-0.004691468,0.001647709,0.043244441,0.379122664,0.430012695
C9J494,-0.132911348,-0.088669508,-0.217236388,0.403209683,0.401605903
Q9NX63,-0.220364057,-0.21298274,-0.166794219,0.077132519,0.067169479
Q5T0F9,0.034637322,0.094635277,0.043505265,0.3944983,0.368842428
F5GWE5,-0.253659838,-0.223747631,-0.238724968,0.196609491,0.28850741
B4DR28,-0.186531343,-0.189409055,-0.119547021,0.163440937,0.202571505
P11274,-0.583683517,-0.275211947,-0.232858702,0.718383401,0.677658796
P39687,-0.187269373,-0.180840861,-0.089088475,0.239533328,0.233101074
A0AV58,-0.155443435,-0.075572855,-0.097692105,0.169534349,0.18350699
P27469,-0.163658949,-0.099541275,-0.07617244,0.351654118,0.277692906
P0CG40,-0.380257975,-0.40476374,-0.192865728,0.457517765,0.565682057
D6RBX4,-0.500944255,-0.53100698,-0.289142901,0.454155838,0.584004262
P43490,-0.884815655,-0.576138483,-0.373706877,0.60864261,0.579258789
B7Z3V0,-0.343121352,-0.373022751,-0.16903729,0.340078519,0.34745259
A8K0D5,-0.154829622,-0.074505294,-0.219035677,0.298900679,0.289003283
K7EIN1,-0.30186262,-0.200577522,-0.061181631,0.490192893,0.549050679
Q59HA5,-0.024647671,-0.034031177,0.042038905,0.260996656,0.284845607
E9PL11,-0.105769597,-0.136467216,-0.096010353,0.250125352,0.172629366
Q8TAA5,-0.262450234,-0.134215346,-0.193060504,0.239919883,0.183218487
P49773,-0.452296288,-0.315239822,-0.135842783,0.547416691,0.463767721
O14684,-0.555764123,-0.721182809,-0.588649296,0.700850285,1.004184338
A8K940,-0.175220467,-0.346232576,-0.208932027,0.301522302,0.222785405
O14569,-0.382167788,-0.258851616,0.001695536,0.633220313,0.634873118
B7Z361,-0.038586734,-0.066526597,-0.154566026,0.27047118,0.225260763
A8K690,-0.263661622,-0.052982371,-0.157026482,0.333165398,0.368814181
A0A0K2BMD8,-0.438628025,-0.502540355,-0.706773317,0.368785637,0.202286154
Q59H48,-0.276300932,-0.105837881,-0.018770411,0.432671247,0.497226363
Q9UN37,-0.160862798,-0.024056069,-0.118009784,0.270176224,0.231504967
P84157,-0.474472873,-0.670820522,-0.381502528,0.100494122,0.107390741
A0A0G2YPN5,-0.65840237,-0.360468827,-0.192308505,0.480532837,0.443418024
B4DPM0,-0.49281796,-0.282863405,-0.099729148,0.446699713,0.522388889
Q15743,-0.204125662,-0.290317519,-0.411650533,0.425823688,0.665209166
P10301,-0.32190858,-0.317193546,-0.165955248,0.12881638,0.107568237
Q9BY43,-0.351045494,-0.281382581,-0.248302799,0.53886637,0.831787943
B2RTQ2,-0.237905532,-0.004323422,-0.009775734,0.528309717,0.442738012
I3L286,-0.399007652,0.028291178,-0.110293253,0.609991774,0.641445247
H0YAL7,-0.272147298,-0.074073594,-0.105516545,0.40882373,0.306235918
M0QZL1,0.129248019,-0.13544343,0.015662179,0.544547526,0.516524558
A0A0U1RRC9,-0.860018567,-1.30338785,-0.93353473,1.396332487,1.913837306
B2RB23,-0.169081426,-0.261025763,-0.242229163,0.152533859,0.054539061
A0A024R486,-0.380629632,-0.208232256,-0.289409343,0.506298991,0.295524847
A0A024R201,-0.273393796,-0.127409522,-0.125752208,0.209145493,0.161970587
H0YGX8,-0.236150628,-0.019139743,-0.01326351,0.438322153,0.380042768
Q86Y37,-0.263759029,-0.258874229,-0.013118659,0.476946345,0.377618599
A0A024RAB0,-0.775160264,-0.403332764,-0.266207872,0.354415622,0.382594298
K7EJC8,-0.048621453,0.006536081,-0.169158664,0.34790997,0.280413116
B4E147,-0.322558395,-0.445361726,-0.345737376,-0.032810194,0.096493734
A0A0A0MR02,-0.33151569,-0.223850137,-0.166258891,0.074724162,0.096840891
H0YKJ9,-0.237164318,-0.352252746,-0.128427948,0.697038426,0.439202625
Q69YU5,-0.314723987,-0.389598873,-0.231135535,0.179773359,0.052785881
O75592,-0.458092787,-0.235128603,-0.009631362,0.59904051,0.497858351
Q6FHJ9,-0.017997238,-0.105974788,-0.120474568,0.28662367,0.18576994
C9J4T6,-1.338718142,-0.442192443,-0.227011195,1.000909615,0.762668018
Q14427,-1.153774721,-0.262493354,-0.235206806,0.711866643,0.734803844
B4DVS2,-0.167277932,-0.079466679,-0.191050188,0.188042238,0.104167119
B4DJX9,-0.496380994,-0.412845729,-0.287650582,0.2031274,0.04829896
Q7L8L6,-0.133067701,-0.251242672,-0.10960832,0.280288194,0.162125636
A0A0K0Q2Z1,-0.387995905,-0.399099017,-0.160205812,0.241047071,0.158679951
A8MZH8,-0.325390623,-0.107318721,-0.101527065,0.30486388,0.249265401
A0A1B0GVK0,-0.594056509,-0.532260979,-0.189888073,0.338751874,0.266650888
P42830,-1.308359868,-0.858373386,-0.3857132,1.170336149,0.739919425
O60362,-0.259809043,-0.089345266,-0.222142352,0.129573092,0.175825531
A0A024R5P7,-0.142513462,-0.096243404,0.034888876,0.28449745,0.386577531
O00505,-0.463989158,-0.569062142,-0.410262172,-0.196121202,-0.156046431
Q9Y490,-0.281600224,-0.214565896,-0.047154602,0.267552301,0.237029795
B3KRG2,-0.197596289,-0.293309399,-0.111653226,0.367894179,0.206959528
P36543,-0.102374609,-0.15750998,-0.031812794,0.229951176,0.150794818
F8WF57,-0.0318735,-0.082330547,0.0506336,0.22545283,0.282015458
Q9NVK5,-0.380050097,-0.284303217,-0.156005783,0.237393445,0.130090692
A0A087WZX0,-0.517727146,-0.56731161,-0.339658344,-0.063742959,-0.038629499
Q53F19,-0.152314247,-0.154321013,-0.044060676,0.11868505,0.18081138
B2R7G6,-0.303578774,-0.270566497,-0.18571754,0.100786162,0.002669412
B4DTA9,-0.358348181,-0.217969421,-0.381836015,0.31004858,0.115664334
B2RCM6,-0.145271644,-0.07026899,-0.217099547,0.118613195,0.191130209
Q9UHQ9,-0.240016749,-0.287797306,-0.127369028,0.103779898,0.221698299
D7NTK9,-0.032067755,0.032830653,-0.055615276,0.299825641,0.470708037
P18031,-0.503039349,-0.479881088,-0.253395267,0.051710119,0.051724388
B1ANE3,-0.252211579,-0.357516033,0.062685738,0.524296022,0.482417671
Q96GK7,-0.258072394,-0.350063223,-0.290108645,0.012903543,0.184241105
Q9UQ90,-0.18393028,-0.155553832,-0.113225247,0.249534345,0.102420602
D6W5B6,-0.114665403,-0.223439166,-0.037550545,0.195853678,0.300346242
E5RIY0,-0.657888046,-0.619628384,-0.486110105,-0.255628532,-0.292981472
Q59EJ3,-0.336225598,-0.184698137,-0.057494284,0.483298063,0.298528606
