Protein	QB-B1-1	QB-B1-2	QB-B1-3	QG-B1-1	QG-B1-2	QG-B1-3	QM-B1-1	QM-B1-2	QM-B1-3
A0A023SG69	5059200000	5536200000	4675400000	7204900000	7351100000	7685000000	6620900000	6432500000	6022300000
H9JDI5	140940000	128810000	365810000	138010000		196440000	101290000		147790000
D1MBK3	2148900000	2285800000	2290800000	2679700000	2615700000	2398800000	2306300000	2536300000	2639100000
H9IWH7	115690000	232240000	202580000	249780000	124680000	178580000		264930000	
A0A0B6VIJ0	2433800000	2564400000	1816300000	1928200000	2024100000	1886500000	1977900000	2049400000	1829900000
A0A0D6A6H2	3468200000	3416800000	3119400000	4530400000	3598500000	3774000000	3754500000	3436300000	3533400000
A0A0F6PL61	115090000						92321000		98788000
H9JEV2	99716000					143570000		131040000	
H9JFX7		43780000	41559000				46480000	87800000	
H9JXF8	518830000	285800000	494670000	302730000	302940000	337880000	221750000	495670000	386630000
Q9MIE2	118420000	51489000							
Q9MIE1									
A0A0U1YV04									
X5IYB8	203250000	186630000	174730000	284530000	229250000	218890000	246320000	256790000	165130000
Q9MID9	4397100000	4332000000	3897600000	3962500000	4639200000	4250200000	3466100000	2152000000	2042000000
H9JBV8						40408000	57355000	55217000	129650000
A0A0X9PFK4	448610000	378800000	408180000	461910000	380750000	370970000	342970000	584390000	339980000
A0A125R9I4	97144000	90031000	99337000	125110000	148700000	151420000	141540000		
A0A144IJT2	305300000	357210000	490180000	419460000	278770000	468030000	251660000	482440000	649670000
A0A1C9CW41	495900000	464870000	271720000	400140000	340690000	343180000	361370000	561650000	
H9JGA4	14354000000	13995000000	14548000000	17282000000	13261000000	14091000000	13831000000	14045000000	15043000000
H9JI39	180260000	188750000	184430000	160770000	139270000	200690000	125030000	233630000	234650000
A1YQ87	62436000000	58962000000	58876000000	57385000000	44342000000	58705000000	53313000000	50008000000	54631000000
A0A1Q0AL85	3492100000	3323300000	3176500000	7276400000	4719500000	4769300000	4399900000	4899500000	5025300000
A0A1Q1NKL1	4098900000	4105900000	3250200000	5368300000	5907800000	5284900000	6350900000	6547300000	6407800000
A0A1U6USP0									
A0A286NZX0	224150000	250170000	314580000	286290000	258080000	266920000	293520000	240310000	271410000
A0A2L1DH87	6756300000	6787500000	6643200000	6406100000	6840100000	7452700000	5342100000	5658700000	6215400000
Q1HPM8	95673000	215140000	130650000	166580000	82775000		139880000	92770000	43607000
A0FDQ0	792500000	612560000	653030000	911080000	719720000	1117400000	784310000	631520000	524430000
A0FDQ3	25367000	37008000			21086000	136310000			
