name	QC-1	QC-2	QC-3	QC-4	QC-5
M409T312	103415.3	103477.6772	105015.7939	106209.2241	105123.7207
M182T562_2	289406.7107	294128.8505	298641.781	295411.022	291431.1651
M667T607_1	36902.76546	36715.61836	37904.68393	36950.77533	37220.58654
M70T587	39127.25057	39159.6003	38436.426	38691.9925	37959.3961
M217T67	203532.525	201972.8609	208622.076	200871.8067	203308.9964
M729T729	9329.800952	9453.6021	9084.6	9262.24165	9343.3883
M291T607	120178.3496	119045.2332	120500.4868	116112.456	117514.4698
M173T683	6226.886471	6224.244333	6018.218167	6282.251526	6191.644375
M106T710	35375.03843	36905.89943	35853.80795	36637.99979	35945.1775
M230T619	5060.678952	4921.167789	4880.095286	4965.44	4838.01345
M602T403	19408.18895	19725.5226	19921.77984	19493.99789	19023.54079
M421T301	31953.1257	32208.14782	32477.64386	31237.51728	32725.224
M668T750	4218.8	4403.106	4397.481615	4298.233333	4282.795
M431T751	123095.1225	128533.4204	128683.8207	125902.4379	124994.6992
M357T835	6571.305	6577.071	6839.01435	6507.019842	6624.978947
M216T751	350799.8699	352774.0014	362420.7029	351771.486	365781.5304
M376T557	102111.703	106328.6707	103451.3433	107172.3235	104866.9342
M190T363	4786.192667	4546.089333	4685.357188	4757.913952	4635.978625
M150T527_2	185130.8711	178071.5973	184052.1886	184362.032	177330.3768
M165T562	88386.39333	93166.28286	91654.58029	92179.61526	90018.92515
M188T692	22017.6495	23205.61905	22615.63243	22354.16433	23027.20643
M471T607	72521.15718	74095.86275	73304.73562	71415.15053	70032.71412
M491T322	7433.3	7409.553	7278.215059	7725.417222	7385.2
M537T408	105121.1306	102990.1075	99434.04357	102561.7307	100171.9013
M313T663	90133.35503	88825.71879	93053.944	89728.42961	93361.48783
M247T567	4593.012765	4667.270647	4464.761111	4612.094118	4424.295526
M84T705	25362.53213	26653.12109	25289.46205	25247.14895	25515.81823
M187T662	1043830.026	1088929.243	1097671.301	1068416.749	1107322.904
M120T475_2	462922.7109	456057.7487	483024.2697	477631.85	476236.1946
M133T527_2	78694.89091	75526.68522	79051.87432	74973.63314	77622.94086
M917T393	6446.476429	6220.184	6432.043133	6094.619357	6386.348571
M130T757_2	183731.0679	185982.2835	192167.815	190869.0436	194996.2003
M102T757	32223.9721	33176.12619	33555.48495	33781.01615	34450.105
M559T300	37655.556	37574.07483	38843.97704	37308.96038	39542.50021
M626T557	52810.2	54584.61395	54691.8885	56616.06747	55430.05263
M126T557_2	709591.7487	740081.4907	751842.5536	746918.2752	757923.4706
M148T756	564350.2376	570253.2615	582777.2243	594083.265	598995.2483
M431T607	81680.66925	83849.38314	87316.95467	82596.3264	83130.52533
M151T704	14204.73052	14370.69105	13709.46168	13480.88477	13999.75841
M319T588	20253.40698	19653.38396	19597.50144	20714.80765	19525.38048
M133T710_2	73911.627	76170.88773	74779.70829	76481.61827	79148.829
M162T668_2	559709.2365	586487.9407	597595.7195	579351.2041	596451.78
M333T607_1	10074.30574	9976.813359	9433.493581	9659.11439	9933.304452
M116T587_2	263788.3777	265005.5299	277180.2978	259255.3424	272558.0472
M166T693_2	44054.06425	42306.32	41272.57891	41246.2125	41964.72318
M335T338	7773.003	7962.884292	8225.277808	7869.854167	7650.155125
M567T64	6204.2955	6462.1024	6521.941263	6703.38385	6416.544444
M398T557	7260.864545	7753.428	7725.046905	7781.67519	7653.889286
M622T739	26892.42182	27662.83878	29041.85503	27747.19767	28221.84
M217T684	16192.344	16183.51875	15592.90845	15124.36227	15728.70857
M681T312	24513.555	25273.47196	26295.93835	24544.51571	25196.22409
M295T756	66203.57222	69887.18	67983.00371	71293.18406	67801.63333
M203T680	17095.36926	17393.60532	18450.27429	17480.24415	17766.83277
M501T557	68207.49	70213.10153	70175.66463	73447.7425	72459.21579
M388T176	438712.6232	472991.6999	470127.6286	458783.7302	460488.945
M474T301	14760.4003	14735.92336	15806.934	14896.51982	15065.7661
M450T393_2	172078.5806	185813.3674	182829.7871	177397.6689	178057.3411
M147T705_2	245253.8103	266176.3698	259183.8427	255119.8048	258625.848
M518T557	13051.83895	12483.62706	12481.89489	12214.99379	13053.26455
M247T86	19530.96133	19565.69529	20954.53	19849.01489	19623.83668
M120T683	38477.4705	41150.757	39102.00627	38059.32065	39263.18273
M118T510	2140599.736	2180964.037	2277386.985	2150014.667	2275465.249
M396T70_2	27400.65447	29257.84476	28998.22286	28879.526	29751.78847
M351T662	486273.6194	516725.8333	527962.4363	515190.6315	505469.9694
M188T477	182487.3245	188303.0139	198543.5423	191832.6655	188845.8449
M1008T1003	41259.66473	42498.48	41551.72448	40313.84686	43714.93745
M313T717	31403.38708	33383.94792	31552.12532	31856.35478	33442.83936
M235T607	497658.9594	512577.2023	541792.8831	511836.2088	513652.347
M645T666_1	58551.9784	60219.31855	58125.94102	56605.44642	61328.21863
M558T751_2	110793.1119	118165.151	119608.083	114757.614	118742.7796
M472T393	13231.44667	12555.42706	13427.0913	13265.54526	12598.57474
M365T207	8714.330908	9056.960322	9083.987	9087.091882	9522.361062
M372T302	106115.3503	107885.4981	114899.591	110775.6999	107694.8337
M113T158_2	616526.1773	601818.4164	636183.9604	588598.4028	593539.5543
M245T74	64035.69995	65518.23562	69628.75358	67253.39585	65758.63657
M114T312_2	371576.474	376102.3688	398363.6458	388053.4023	398429.6625
M177T607	329770.4323	309857.9855	310765.79	303649.1303	308347.9342
M652T264	82725.45672	87403.26378	90395.2777	87828.80167	88248.67273
M263T444	10300.52965	11171.402	10993.61744	10538.905	10673.556
M196T85	17132.44	16864.03579	17324.98635	16507.30311	15948.28474
M401T673	13688.9396	14568.60906	13746.64358	14000.55287	13354.605
M863T607	15179.7285	16104.324	16213.596	15715.84339	16551.14185
M838T662	12554.36042	13480.6005	13192.96955	13295.80828	13721.86181
M548T78	17035.73178	16608.39	17712.39153	16363.73333	16436.76632
M457T402	25334.25014	26226.96048	24438.59964	24386.4325	25913.64138
M105T662_2	882192.9408	921162.9876	952616.2968	894826.6019	944665.0884
M132T489_2	820228.015	815031.9206	826648.9474	800143.3623	759632.9618
M146T73_2	36153.75871	36966.11405	38567.789	35326.51626	36178.70655
M674T661_1	24374.04084	24803.50009	26194.1607	24463.96826	25906.99855
M614T367	49806.0881	50730.99885	54310.399	52608.74685	52300.16275
M635T763	4805.580389	5218.194882	4948.948	4883.838235	5109.490611
M251T557_2	144057.296	154394.4929	151474.3544	157187.0914	148301.5041
M869T179	6385.079739	6866.858704	6815.913176	6404.727808	6674.141508
M337T704	13714.571	14018.51128	12904.0011	13121.97094	13216.15053
M273T311	658199.2567	682932.2873	717825.9529	668421.1054	669488.5266
M205T477	169716.2167	158850.7142	172971.1165	166115.3946	172126.6291
M876T557	9393.627692	10098.06188	9792.891765	10178.016	9566.76875
M218T525	562724.373	536254.3065	585095.238	564003.5967	543524.0475
M333T607_2	436284.6121	456690.5308	479867.342	451270.514	458719.6308
M1049T1003	1379.483857	1274.231579	1315.629783	1319.926364	1382.915739
M433T662	906689.2807	961306.3224	966651.576	911412.5661	976727.7506
M614T587	2328.380091	2312.9658	2162.741	2169.36	2218.969187
M765T866	33241.70348	35465.00964	33730.39915	34900.35804	36214.11818
M467T393	91315.97222	98690.51337	98978.6505	93909.03868	93745.49368
M557T559	10503	11361.69789	10668.41279	11319.44537	11127.3396
M961T607_1	9817.312593	10320.4143	10122.61161	9583.365462	10446.46778
M679T662_2	215449.4385	224442.2105	223050.0401	225525.6743	237646.547
M222T352	1636.405	1759.0814	1721.696	1745.117143	1802.577778
M804T756	3223.026316	3372.617368	3099.949	3340.000778	3360.592941
M569T607_1	49408.35047	47377.9116	51362.32006	48567.49168	47057.73631
M934T302	2689.581273	2753.755667	2863.529455	2612.541913	2662.268308
M72T564_2	90076.45005	87424.432	94164.40396	89132.09486	94897.71857
M363T562	9371.317	8720.4	8991.858	8761.386118	9393.114706
M282T531	3786.876435	3694.034286	3650.660417	3443.236579	3722.119167
M794T736	4948.156667	4787.988	5242.67175	5136.640385	5131.56
M932T303	2142.61775	2109.478	2306.850818	2229.370174	2237.454409
M317T757	13607.4015	13636.89389	14512.72747	14427.49433	13456.41024
M636T730	2593.8216	2445.949071	2459.449412	2423.52	2351.244
M869T90	6722.385211	6397.170786	6083.829231	6474.063917	6339.631552
M373T607	97954.34585	94283.36374	102525.878	94172.65465	95418.06771
M348T769	60229.50138	59943.34452	59740.37846	57124.40754	63274.66671
M348T87	57732.37768	55916.52767	61064.505	59884.04228	60630.60521
M652T588	2166.27575	2296.957833	2311.970467	2375.788125	2211.073125
M773T751_2	38463.68374	41463.99233	38040.51176	38236.82579	39802.15922
M171T73	82884.125	82891.79143	89746.40632	83359.88015	87356.70462
M652T791	1570.40625	1722.492632	1618.6716	1699.526526	1648.048235
M1001T557	1344.398571	1324.6786	1321.385786	1302.516	1429.895385
M104T638	10644.34443	10967.92524	10851.09136	10311.931	10015.92764
M250T312	89595.5544	93080.07641	92013.15077	84488.46913	90958.28241
M433T710	946.6525217	980.7617647	998.6896452	955.248	905.1688
M530T452	2822.979524	3053.807556	2821.562632	2829.386105	2787.072
M258T659	30960.11295	33479.375	34006.43979	33932.98226	33147.59817
M169T704_2	69584.37273	74929.49927	68697.33443	68386.57209	70905.54895
M160T730_2	55655.30695	57811.04733	60974.2536	60898.5794	58795.16057
M492T664	52856.80595	55716.20621	53181.49764	57025.54152	57341.87391
M132T657	79946.99889	82997.77684	77552.78337	75438.61967	81642.45379
M959T302	5575.970714	5460.568577	5500.117037	5620.909407	5091.64376
M154T657	51262.17525	52016.762	51732.25216	47263.32616	51296.43142
M646T751	18425.48824	20440.92707	19435.0324	20019.5875	19592.762
M315T301	160176.4574	163954.7598	175741.8052	162174.6344	170457.5475
M679T584	3996.897298	3915.31475	4179.735742	3824.093056	4166.5905
M414T393	23333.75059	23927.93483	24868.94379	22607.51637	22836.44526
M487T607	20608.77891	22272.64092	22143.32509	21242.77197	22706.31818
M599T67	46692.1	45756.48	50547.62186	46633.20255	47538.09295
M668T660	12605.61462	13992.37168	13239.24381	13330.85715	12938.95114
M637T756	13623.86842	14885.45625	13473.12337	13990.669	13973.8
M328T664	134576.1085	146752.9135	138026.5967	133825.9634	142436.1919
M689T84	47191.06	46937.52	50380.5535	46020.97772	49741.53883
M184T668	135752.313	149712.0373	148013.4407	147866.72	148710.72
M432T393	22619.35	24800.71295	22855.81918	22663.86133	23607.30444
M335T835	51440.51684	54220.37955	51279.01405	49478.4218	54332.544
M867T662	48890.53289	52567.77028	47133.21767	48854.28354	49769.76884
M377T401_2	4344.166958	4157.506435	4595.620545	4555.681043	4490.535125
M293T705	9819.611429	10850.50933	10302.60733	9927.280565	10013.367
M616T301	4215.19176	3949.973609	4170.148125	3893.756913	3858.86571
M216T87	38483.69462	37858.31176	41785.53647	39645.98835	38146.92428
M404T772_1	3731.497778	3850.631579	3696.797895	4092.398158	3785.237
M482T683	4729.948235	4937.074111	4562.881105	4625.46	5016.021944
M285T413	16308.67304	16902.75617	15704.30018	16675.12365	15303.65187
M829T593	735.5682057	768.4665246	784.8092	732.2475023	805.6313929
M229T703	52563.51238	56406.05632	58710.00876	54384.78124	55376.15364
M246T664	22254.39355	24651.372	23747.35586	22637.44	22890.72185
M461T704	5140.504444	5341.365556	5438.68	5116.058588	4886.205882
M245T300	237705.459	240750.0076	262099.8646	239866.3939	250919.3567
M795T751	7650.339529	7768.639143	8296.9326	7926.149474	7432.180053
M265T424	8639.5032	8238.702	9146.328176	8457.8501	8354.406667
M166T475	793780.9727	792523.2505	851189.595	791651.1686	759421.97
M269T662	2379126.409	2543812.308	2637010.039	2418528.208	2539326.823
