name	30ug-1	30ug-2	30ug-3	30ug-4	30ug-5	30ug-6	30ug-7	30ug-8	300ug-1	300ug-2	300ug-3	300ug-4	300ug-5	300ug-6	300ug-7	300ug-8	control-1	control-2	control-3	control-4	control-5	control-6	control-7	control-8	QC-1	QC-2	QC-3	QC-4	QC-5
M409T312	195203.6557	264807.226	238308.034	159196.2936	103434.5925	96182.68696	307338.4604	424680.472	129471.5116	370460.8412	219857.7136	204838.9032	104939.9336	477639.1244	161758.0078	363371.5165	34142.96696	230015.6533	209569.1627	163316.7643	265736.3173	378237.4558	79811.67838	197687.7613	103415.3	103477.6772	105015.7939	106209.2241	105123.7207
M182T562_2	461091.1985	306086.5873	253302.9093	528762.2684	397141.5137	372533.9117	378161.2476	588641.8921	446047.434	547935.8473	154671.2913	285855.6739	262234.8381	467205.6285	341858.0881	685123.9749	482077.661	437256.7027	489827.226	468590.6794	363514.7601	590791.7452	492898.7179	637403.1476	289406.7107	294128.8505	298641.781	295411.022	291431.1651
M667T607_1	103005.333	90035.18957	68734.71785	74320.659	85479.896	52662.3065	99893.76524	129209.3356	80954.59063	109653.374	77439.78706	81012.94562	44971.74	95926.08229	67033.12152	118381.5173	85052.20089	61327.33307	77902.587	132609.5134	74934.23863	86021.1372	76433.632	102704.9585	36902.76546	36715.61836	37904.68393	36950.77533	37220.58654
M70T587	49662.40463	23645.44433	46790.865	61259.25252	45558.52272	48822.06005	48754.53457	80371.71871	39399.09895	71986.47838	20844.94195	26776.00706	56662.51444	53154.19733	46108.06418	75487.4675	45938.73567	34110.55638	51847.5672	51758.46457	30102.27543	63042.77976	46639.27895	78258.41835	39127.25057	39159.6003	38436.426	38691.9925	37959.3961
M217T67	144312.2876	263875.045	230640.8	201184.3142	289208.0286	373995.9517	272882.5515	303919.1766	337119.8947	301057.6871	352326.5664	251734.001	256463.2627	495301.8563	238914.1134	217069.9739	291094.3	200565.521	204811.8543	372313.5733	346279.353	270676.8035	266100.1186	273025.501	203532.525	201972.8609	208622.076	200871.8067	203308.9964
M729T729	1338.602398	369.8516846	2648.443421	5232.128	6962.5919	12674.3339	4043.943619	1976.805556	2837.353125	2042.682353	111.6095806	592.3187256	7058.219048	1935.23505	11348.27571	2559.341647	1218.171667	2392.798688	9431.77085	1856.9105	369.0141805	440.9573025	1003.3554	7475.661286	9329.800952	9453.6021	9084.6	9262.24165	9343.3883
M291T607	211135.3234	102490.5743	174977.9668	179700.2792	112209.7544	140024.9225	218151.7088	281495.9265	188119.6894	231563.016	190179.4233	181549.1286	138809.643	197110.5592	159166.3735	236376.266	173036.6665	149447.9389	177291.0407	260914.5128	174796.8743	194693.14	173018.5079	228210.8179	120178.3496	119045.2332	120500.4868	116112.456	117514.4698
M173T683	8450.115667	3386.801444	10373.60944	11139.16632	3372.982667	8672.690526	20734.82429	13799.51562	6502.130526	15887.6809	6419.659412	6571.372286	12103.9515	15425.289	9483.7589	9471.805263	8324.8545	3666.315789	10524.65085	7458.602789	5222.602368	13590.8067	9885.416667	25486.39155	6226.886471	6224.244333	6018.218167	6282.251526	6191.644375
M106T710	38762.32338	30656.76223	37991.69479	48177.39232	63079.39448	64637.23934	57869.007	63321.31435	48375.75864	57727.602	15920.406	44634.408	39046.34823	71732.58486	42632.86907	84114.63717	43017.01273	38991.09387	57199.137	51913.27957	80243.25445	72161.14574	43574.374	71752.86027	35375.03843	36905.89943	35853.80795	36637.99979	35945.1775
M230T619	44621.85564	5976.952222	5175.8395	16647.6019	73124.26984	21612.078	11933.04986	14718.95312	38469.71535	111956.2394	3206.871	15733.30288	13804.58333	11536.44547	26721.03295	8521.779727	39986.72526	4462.097895	18135.51932	11067.47005	12816.88526	23120.93711	23726.78	5196.620333	5060.678952	4921.167789	4880.095286	4965.44	4838.01345
